"","Participant.Private.ID","conditionText","contrast","absAngError","condition","contrastHigh","contrastMed","contrastLow"
"147",5793287,"blur","Low",13.1233027140754,1,0,0,1
"148",5793287,"blur","Medium",7.72148593879648,1,0,1,0
"149",5793287,"blur","High",5.93247363696144,1,1,0,0
"150",5793287,"blur","High",1.08156527921844,1,1,0,0
"151",5793287,"blur","Low",6.57198547769821,1,0,0,1
"152",5793287,"blur","Medium",4.81397721426377,1,0,1,0
"153",5793287,"blur","Medium",7.44003482817619,1,0,1,0
"154",5793287,"blur","Low",13.6655735407496,1,0,0,1
"155",5793287,"blur","Medium",2.42756957232665,1,0,1,0
"156",5793287,"blur","Low",1.3478872801986,1,0,0,1
"157",5793287,"blur","High",2.22573601919363,1,1,0,0
"158",5793287,"blur","Medium",4.48460600954462,1,0,1,0
"159",5793287,"blur","High",2.08909933809229,1,1,0,0
"160",5793287,"blur","Medium",4.38954033403478,1,0,1,0
"161",5793287,"blur","High",1.57243042767335,1,1,0,0
"162",5793287,"blur","High",1.82616179840262,1,1,0,0
"163",5793287,"blur","Medium",3.06904469802702,1,0,1,0
"164",5793287,"blur","Medium",0.449369448707963,1,0,1,0
"165",5793287,"blur","Low",11.3340412767098,1,0,0,1
"166",5793287,"blur","High",0.0377106209771236,1,1,0,0
"167",5793287,"blur","Low",7.14249577707277,1,0,0,1
"168",5793287,"blur","Low",26.0440921622411,1,0,0,1
"169",5793287,"blur","Low",2.17819625000013,1,0,0,1
"170",5793287,"blur","High",3.14433316290349,1,1,0,0
"171",5793287,"blur","Low",14.8766972859246,1,0,0,1
"172",5793287,"blur","High",1.82616179840262,1,1,0,0
"173",5793287,"blur","Low",4.69550287742477,1,0,0,1
"174",5793287,"blur","Medium",4.43282867939869,1,0,1,0
"175",5793287,"blur","Low",20.449369448708,1,0,0,1
"176",5793287,"blur","High",0.449369448707963,1,1,0,0
"177",5793287,"blur","High",4.18252141520532,1,1,0,0
"178",5793287,"blur","Medium",3.44003482817619,1,0,1,0
"179",5793287,"blur","Low",3.96228937902288,1,0,0,1
"180",5793287,"blur","Medium",5.20112364547507,1,0,1,0
"181",5793287,"blur","Low",10.2457425658951,1,0,0,1
"182",5793287,"blur","High",1.66557354074964,1,1,0,0
"183",5793287,"blur","Medium",4.03571071053479,1,0,1,0
"184",5793287,"blur","High",3.55887081828133,1,1,0,0
"185",5793287,"blur","Medium",2.17819625000013,1,0,1,0
"186",5793287,"blur","Medium",3.76718254247568,1,0,1,0
"187",5793287,"blur","High",0.182521415205322,1,1,0,0
"188",5793287,"blur","Medium",1.13408772396236,1,0,1,0
"189",5793287,"blur","Medium",4.83210876235144,1,0,1,0
"190",5793287,"blur","Low",26.2661980984793,1,0,0,1
"191",5793287,"blur","Medium",1.62229722866827,1,0,1,0
"192",5793287,"blur","High",1.99484487402293,1,1,0,0
"193",5793287,"blur","Low",11.550630551292,1,0,0,1
"194",5793287,"blur","Low",1.79692527269597,1,0,0,1
"195",5793287,"blur","High",0.224688179624502,1,1,0,0
"196",5793287,"blur","High",3.63958908206966,1,1,0,0
"197",5793287,"blur","Low",18.5719854776982,1,0,0,1
"198",5793287,"blur","Medium",3.33404127670978,1,0,1,0
"199",5793287,"blur","Low",1.80140948635181,1,0,0,1
"200",5793287,"blur","Medium",2.6942842898561,1,0,1,0
"201",5793287,"blur","Low",21.8261617984026,1,0,0,1
"202",5793287,"blur","High",0.4758214577137,1,1,0,0
"203",5793287,"blur","High",0.930955301972978,1,1,0,0
"204",5793287,"blur","Medium",1.3478872801986,1,0,1,0
"205",5793287,"blur","Low",0.182521415205322,1,0,0,1
"206",5793287,"blur","Low",10.1781962500001,1,0,0,1
"207",5793287,"blur","Low",8.69550287742477,1,0,0,1
"208",5793287,"blur","High",0.857504222927234,1,1,0,0
"209",5793287,"blur","Medium",0.0377106209771236,1,0,1,0
"210",5793287,"blur","Medium",0.171458208587472,1,0,1,0
"211",5793287,"blur","High",0.224688179624502,1,1,0,0
"212",5793287,"blur","High",4.17145820858747,1,1,0,0
"213",5793287,"blur","High",1.80140948635181,1,1,0,0
"214",5793287,"blur","Low",4.80225703114765,1,0,0,1
"215",5793287,"blur","Low",1.29016319224307,1,0,0,1
"216",5793287,"blur","Medium",5.80140948635181,1,0,1,0
"217",5647903,"blur","Low",12.2246881796245,1,0,0,1
"218",5647903,"blur","Medium",4.81397721426377,1,0,1,0
"219",5647903,"blur","High",0,1,1,0,0
"220",5647903,"blur","Medium",8.83210876235144,1,0,1,0
"221",5647903,"blur","Low",7.96428928946521,1,0,0,1
"222",5647903,"blur","High",0.409677397860384,1,1,0,0
"223",5647903,"blur","Medium",7.33404127670978,1,0,1,0
"224",5647903,"blur","Low",1.57243042767335,1,0,0,1
"225",5647903,"blur","Low",10.6369307577068,1,0,0,1
"226",5647903,"blur","Medium",3.95658424314913,1,0,1,0
"227",5647903,"blur","Medium",0.409677397860384,1,0,1,0
"228",5647903,"blur","Low",6.22573601919363,1,0,0,1
"229",5647903,"blur","Low",6.04409216224111,1,0,0,1
"230",5647903,"blur","Low",6.23249108070382,1,0,0,1
"231",5647903,"blur","High",11.7826798862901,1,1,0,0
"232",5647903,"blur","Low",1.76750891929618,1,0,0,1
"233",5647903,"blur","High",4.62987994612618,1,1,0,0
"234",5647903,"blur","High",7.14098383507691,1,1,0,0
"235",5647903,"blur","High",14.7982579180768,1,1,0,0
"236",5647903,"blur","Low",12.037210169193,1,0,0,1
"237",5647903,"blur","High",11.1286834787188,1,1,0,0
"238",5647903,"blur","High",2.24574256589507,1,1,0,0
"239",5647903,"blur","Medium",4.80225703114765,1,0,1,0
"240",5647903,"blur","Medium",6.29479007058385,1,0,1,0
"241",5647903,"blur","Medium",7.89727103094763,1,0,1,0
"242",5647903,"blur","Low",4.83210876235144,1,0,0,1
"243",5647903,"blur","High",5.82616179840262,1,1,0,0
"244",5647903,"blur","Low",16.8264222664874,1,0,0,1
"245",5647903,"blur","High",1.78993109998637,1,1,0,0
"246",5647903,"blur","High",0.930955301972978,1,1,0,0
"247",5647903,"blur","Medium",0.707852244372225,1,0,1,0
"248",5647903,"blur","High",4.18252141520532,1,1,0,0
"249",5647903,"blur","Low",35.4400348281762,1,0,0,1
"250",5647903,"blur","Medium",7.23998876249188,1,0,1,0
"251",5647903,"blur","Medium",7.1526687499947,1,0,1,0
"252",5647903,"blur","Medium",2.91843472078156,1,0,1,0
"253",5647903,"blur","High",5.02245300224339,1,1,0,0
"254",5647903,"blur","Medium",10.1305433193515,1,0,1,0
"255",5647903,"blur","Low",4,1,0,0,1
"256",5647903,"blur","Medium",4.64677085193117,1,0,1,0
"257",5647903,"blur","Low",0.224688179624502,1,0,0,1
"258",5647903,"blur","High",1.57243042767335,1,1,0,0
"259",5647903,"blur","High",4.18252141520532,1,1,0,0
"260",5647903,"blur","High",5.01689347810002,1,1,0,0
"261",5647903,"blur","High",1.79692527269597,1,1,0,0
"262",5647903,"blur","Medium",0.930955301972978,1,0,1,0
"263",5647903,"blur","Medium",4.25588871521673,1,0,1,0
"264",5647903,"blur","High",5.56791518974325,1,1,0,0
"265",5647903,"blur","Low",3.08507304285213,1,0,0,1
"266",5647903,"blur","Medium",2.72144091497807,1,0,1,0
"267",5647903,"blur","Medium",3.74136844245281,1,0,1,0
"268",5647903,"blur","Low",1.29016319224307,1,0,0,1
"269",5647903,"blur","Low",6.00797980144134,1,0,0,1
"270",5647903,"blur","High",0.261223244498699,1,1,0,0
"271",5647903,"blur","Low",4.03771062097712,1,0,0,1
"272",5647903,"blur","Low",10.2457425658951,1,0,0,1
"273",5647903,"blur","Medium",0.449369448707963,1,0,1,0
"274",5647903,"blur","Low",6.38013505195957,1,0,0,1
"275",5647903,"blur","Medium",0.674036897984505,1,0,1,0
"276",5647903,"blur","Low",1.00794695540733,1,0,0,1
"277",5647903,"blur","Medium",2.23249108070382,1,0,1,0
"278",5647903,"blur","Low",10.6321874353263,1,0,0,1
"279",5647903,"blur","High",6.63693075770683,1,1,0,0
"280",5647903,"blur","Medium",8.83210876235144,1,0,1,0
"281",5647903,"blur","High",1.78993109998637,1,1,0,0
