Participant.Private.ID,condition,contrast,totAttempt,totCorrect,percCorrect
5511959,clear,5,8,7,0.875
5511959,clear,4,10,8,0.8
5511959,clear,3,7,3,0.42857142857142855
5511959,clear,2,3,0,0
5512597,blur,16,1,1,1
5512597,blur,15,1,1,1
5512597,blur,14,6,5,0.8333333333333334
5512597,blur,13,6,6,1
5512597,blur,12,9,4,0.4444444444444444
5512597,blur,11,5,4,0.8
5512597,blur,10,7,3,0.42857142857142855
5512597,blur,9,3,2,0.6666666666666666
5512597,blur,8,2,0,0
5512597,clear,10,1,1,1
5512597,clear,9,1,1,1
5512597,clear,8,1,1,1
5512597,clear,7,1,1,1
5512597,clear,6,2,2,1
5512597,clear,5,7,7,1
5512597,clear,4,11,10,0.9090909090909091
5512597,clear,3,10,5,0.5
5512597,clear,2,5,1,0.2
5512597,clear,1,1,0,0
5549866,blur,10,1,1,1
5549866,blur,9,1,1,1
5549866,blur,8,1,1,1
5549866,blur,7,2,2,1
5549866,blur,6,3,3,1
5549866,blur,5,4,3,0.75
5549866,blur,4,3,2,0.6666666666666666
5549866,blur,3,9,8,0.8888888888888888
5549866,blur,2,8,8,1
5549866,blur,1,8,0,0
5549866,clear,10,1,1,1
5549866,clear,9,1,1,1
5549866,clear,8,1,1,1
5549866,clear,7,1,1,1
5549866,clear,6,1,1,1
5549866,clear,5,1,1,1
5549866,clear,4,4,4,1
5549866,clear,3,11,11,1
5549866,clear,2,11,8,0.7272727272727273
5549866,clear,1,8,0,0
5550506,blur,10,1,1,1
5550506,blur,9,1,1,1
5550506,blur,8,2,2,1
5550506,blur,7,4,4,1
5550506,blur,6,6,5,0.8333333333333334
5550506,blur,5,10,8,0.8
5550506,blur,4,9,7,0.7777777777777778
5550506,blur,3,6,1,0.16666666666666666
5550506,blur,2,1,0,0
5550506,clear,10,1,1,1
5550506,clear,9,1,1,1
5550506,clear,8,1,1,1
5550506,clear,7,1,1,1
5550506,clear,6,1,1,1
5550506,clear,5,5,5,1
5550506,clear,4,11,11,1
5550506,clear,3,11,7,0.6363636363636364
5550506,clear,2,7,1,0.14285714285714285
5550506,clear,1,1,0,0
5558701,blur,11,1,1,1
5558701,blur,10,2,2,1
5558701,blur,9,2,1,0.5
5558701,blur,8,1,1,1
5558701,blur,7,1,1,1
5558701,blur,6,1,1,1
5558701,blur,5,6,6,1
5558701,blur,4,8,8,1
5558701,blur,3,10,5,0.5
5558701,blur,2,5,3,0.6
5558701,blur,1,3,0,0
5558701,clear,10,1,1,1
5558701,clear,9,1,1,1
5558701,clear,8,1,1,1
5558701,clear,7,1,1,1
5558701,clear,6,1,1,1
5558701,clear,5,2,2,1
5558701,clear,4,4,4,1
5558701,clear,3,11,10,0.9090909090909091
5558701,clear,2,10,8,0.8
5558701,clear,1,8,1,0.125
5578336,blur,10,1,1,1
5578336,blur,9,1,1,1
5578336,blur,8,2,2,1
5578336,blur,7,2,2,1
5578336,blur,6,2,1,0.5
5578336,blur,5,1,1,1
5578336,blur,4,3,3,1
5578336,blur,3,9,9,1
5578336,blur,2,9,7,0.7777777777777778
5578336,blur,1,10,4,0.4
5578336,clear,10,1,1,1
5578336,clear,9,1,1,1
5578336,clear,8,1,1,1
5578336,clear,7,1,1,1
5578336,clear,6,1,1,1
5578336,clear,5,1,1,1
5578336,clear,4,1,1,1
5578336,clear,3,4,4,1
5578336,clear,2,4,4,1
5578336,clear,1,25,22,0.88
5585374,blur,11,1,1,1
5585374,blur,10,2,2,1
5585374,blur,9,3,2,0.6666666666666666
5585374,blur,8,4,4,1
5585374,blur,7,5,4,0.8
5585374,blur,6,6,4,0.6666666666666666
5585374,blur,5,8,7,0.875
5585374,blur,4,7,4,0.5714285714285714
5585374,blur,3,4,0,0
5585374,clear,10,1,1,1
5585374,clear,9,1,1,1
5585374,clear,8,2,2,1
5585374,clear,7,2,2,1
5585374,clear,6,8,7,0.875
5585374,clear,5,10,10,1
5585374,clear,4,11,4,0.36363636363636365
5585374,clear,3,4,1,0.25
5585374,clear,2,1,0,0
5585959,blur,10,1,1,1
5585959,blur,9,1,1,1
5585959,blur,8,1,1,1
5585959,blur,7,1,1,1
5585959,blur,6,1,1,1
5585959,blur,5,12,12,1
5585959,blur,4,12,11,0.9166666666666666
5585959,blur,3,11,0,0
5585959,clear,10,1,1,1
5585959,clear,9,1,1,1
5585959,clear,8,1,1,1
5585959,clear,7,2,2,1
5585959,clear,6,1,1,1
5585959,clear,5,10,9,0.9
5585959,clear,4,10,10,1
5585959,clear,3,11,2,0.18181818181818182
5585959,clear,2,2,1,0.5
5585959,clear,1,1,0,0
5599806,blur,11,1,1,1
5599806,blur,10,4,4,1
5599806,blur,9,7,6,0.8571428571428571
5599806,blur,8,6,4,0.6666666666666666
5599806,blur,7,8,4,0.5
5599806,blur,6,5,5,1
5599806,blur,5,6,2,0.3333333333333333
5599806,blur,4,2,1,0.5
5599806,blur,3,1,0,0
5599806,clear,10,1,1,1
5599806,clear,9,1,1,1
5599806,clear,8,1,1,1
5599806,clear,7,3,3,1
5599806,clear,6,6,6,1
5599806,clear,5,11,9,0.8181818181818182
5599806,clear,4,10,6,0.6
5599806,clear,3,6,1,0.16666666666666666
5599806,clear,2,1,0,0
5610774,blur,10,1,1,1
5610774,blur,9,1,1,1
5610774,blur,8,1,1,1
5610774,blur,7,1,1,1
5610774,blur,6,3,3,1
5610774,blur,5,12,12,1
5610774,blur,4,12,10,0.8333333333333334
5610774,blur,3,9,0,0
