Participant.Private.ID,condition,logMAR,totAttempt,totCorrect,percCorrect
5371387,blur,0.8,1,1,1
5371387,blur,0.7000000000000001,1,1,1
5371387,blur,0.6000000000000001,1,1,1
5371387,blur,0.5000000000000001,1,1,1
5371387,blur,0.40000000000000013,2,2,1
5371387,blur,0.30000000000000004,6,6,1
5371387,blur,0.20000000000000007,9,8,0.8888888888888888
5371387,blur,0.10000000000000009,10,6,0.6
5371387,blur,0,5,2,0.4
5371387,blur,-0.09999999999999987,2,0,0
5371387,clear,1,1,1,1
5371387,clear,0.9000000000000001,1,1,1
5371387,clear,0.8,1,1,1
5371387,clear,0.7000000000000001,1,1,1
5371387,clear,0.6000000000000001,1,1,1
5371387,clear,0.5000000000000001,1,1,1
5371387,clear,0.40000000000000013,1,1,1
5371387,clear,0.30000000000000004,2,2,1
5371387,clear,0.20000000000000007,7,7,1
5371387,clear,0.10000000000000009,9,8,0.8888888888888888
5371387,clear,0,9,4,0.4444444444444444
5371387,clear,-0.09999999999999987,4,2,0.5
5371387,clear,-0.19999999999999996,2,0,0
5372697,blur,1,1,1,1
5372697,blur,0.9000000000000001,1,1,1
5372697,blur,0.8,1,1,1
5372697,blur,0.7000000000000001,1,1,1
5372697,blur,0.6000000000000001,1,1,1
5372697,blur,0.5000000000000001,1,1,1
5372697,blur,0.40000000000000013,1,1,1
5372697,blur,0.30000000000000004,1,1,1
5372697,blur,0.20000000000000007,2,2,1
5372697,blur,0.10000000000000009,7,7,1
5372697,blur,0,10,9,0.9
5372697,blur,-0.09999999999999987,9,4,0.4444444444444444
5372697,blur,-0.19999999999999996,4,0,0
5372697,clear,1,1,1,1
5372697,clear,0.9000000000000001,1,1,1
5372697,clear,0.8,1,1,1
5372697,clear,0.7000000000000001,1,1,1
5372697,clear,0.6000000000000001,1,1,1
5372697,clear,0.5000000000000001,1,1,1
5372697,clear,0.40000000000000013,1,1,1
5372697,clear,0.30000000000000004,2,2,1
5372697,clear,0.20000000000000007,3,3,1
5372697,clear,0.10000000000000009,8,7,0.875
5372697,clear,0,9,8,0.8888888888888888
5372697,clear,-0.09999999999999987,8,2,0.25
5372697,clear,-0.19999999999999996,3,1,0.3333333333333333
5384559,blur,1,1,1,1
5384559,blur,0.9000000000000001,1,1,1
5384559,blur,0.8,1,1,1
5384559,blur,0.7000000000000001,1,1,1
5384559,blur,0.6000000000000001,1,1,1
5384559,blur,0.5000000000000001,1,1,1
5384559,blur,0.40000000000000013,1,1,1
5384559,blur,0.30000000000000004,2,2,1
5384559,blur,0.20000000000000007,6,6,1
5384559,blur,0.10000000000000009,9,8,0.8888888888888888
5384559,blur,0,9,5,0.5555555555555556
5384559,blur,-0.09999999999999987,5,2,0.4
5384559,blur,-0.19999999999999996,2,0,0
5384559,clear,1,1,1,1
5384559,clear,0.9000000000000001,1,1,1
5384559,clear,0.8,1,1,1
5384559,clear,0.7000000000000001,1,1,1
5384559,clear,0.6000000000000001,1,1,1
5384559,clear,0.5000000000000001,1,1,1
5384559,clear,0.40000000000000013,1,1,1
5384559,clear,0.30000000000000004,3,3,1
5384559,clear,0.20000000000000007,5,5,1
5384559,clear,0.10000000000000009,8,6,0.75
5384559,clear,0,8,6,0.75
5384559,clear,-0.09999999999999987,6,3,0.5
5384559,clear,-0.19999999999999996,3,1,0.3333333333333333
5387392,blur,1,1,1,1
5387392,blur,0.9000000000000001,1,1,1
5387392,blur,0.8,1,1,1
5387392,blur,0.7000000000000001,1,1,1
5387392,blur,0.6000000000000001,1,1,1
5387392,blur,0.5000000000000001,1,1,1
5387392,blur,0.40000000000000013,3,3,1
5387392,blur,0.30000000000000004,5,5,1
5387392,blur,0.20000000000000007,10,8,0.8
5387392,blur,0.10000000000000009,9,7,0.7777777777777778
5387392,blur,0,6,1,0.16666666666666666
5387392,blur,-0.09999999999999987,1,0,0
5387392,clear,1,1,1,1
5387392,clear,0.9000000000000001,1,1,1
5387392,clear,0.8,1,1,1
5387392,clear,0.7000000000000001,1,1,1
5387392,clear,0.6000000000000001,1,1,1
5387392,clear,0.5000000000000001,1,1,1
5387392,clear,0.40000000000000013,2,2,1
5387392,clear,0.30000000000000004,5,5,1
5387392,clear,0.20000000000000007,9,8,0.8888888888888888
5387392,clear,0.10000000000000009,10,6,0.6
5387392,clear,0,6,2,0.3333333333333333
5387392,clear,-0.09999999999999987,2,0,0
5389013,blur,1,1,1,1
5389013,blur,0.9000000000000001,1,1,1
5389013,blur,0.8,1,1,1
5389013,blur,0.7000000000000001,1,1,1
5389013,blur,0.6000000000000001,1,1,1
5389013,blur,0.5000000000000001,1,1,1
