"","Participant.Private.ID","condition","Reaction.Time","X.Coordinate","Y.Coordinate","video","midDistPx","angle2mid","contrast","offset","absOffset","angError","absAngError"
"3610",5297751,"clear",871.300000011921,392,260,"12right.mp4",72,15.7671825424757,"High",12,12,3.76718254247568,3.76718254247568
"3611",5297751,"clear",1495,377,257,"90_8.mp4",57,12.6001598260807,"Low",-8,8,20.6001598260807,20.6001598260807
"3612",5297751,"clear",930.09999999404,480,257,"90_20right.mp4",160,32.1062559551178,"Low",20,20,12.1062559551178,12.1062559551178
"3613",5297751,"clear",1510.90000000596,257,260,"50_4.mp4",-63,-13.877529803208,"Medium",-4,4,-9.87752980320801,9.87752980320801
"3614",5297751,"clear",1582.5,279,269,"50_0.mp4",-41,-9.13408772396236,"Medium",0,0,-9.13408772396236,9.13408772396236
"3615",5297751,"clear",2712.20000001788,331,265,"0right.mp4",11,2.47005129596086,"High",0,0,2.47005129596086,2.47005129596086
"3616",5297751,"clear",472.799999982119,329,260,"0.mp4",9,2.02136494035602,"High",0,0,2.02136494035602,2.02136494035602
"3617",5297751,"clear",1138.79999998212,250,250,"90_4right.mp4",-70,-15.3501364924244,"Low",4,4,-19.3501364924244,19.3501364924244
"3618",5297751,"clear",1342.80000001192,301,252,"90_8right.mp4",-19,-4.2612232444987,"Low",8,8,-12.2612232444987,12.2612232444987
"3619",5297751,"clear",1069.90000000596,231,257,"50_16.mp4",-89,-19.2399887624919,"Medium",-16,16,-3.23998876249188,3.23998876249188
"3620",5297751,"clear",875.200000017881,241,263,"90_16.mp4",-79,-17.2131861322918,"Low",-16,16,-1.21318613229182,1.21318613229182
"3621",5297751,"clear",1086.40000000596,286,261,"90_12.mp4",-34,-7.59464336859144,"Low",-12,12,4.40535663140856,4.40535663140856
"3622",5297751,"clear",917.200000017881,359,257,"8right.mp4",39,8.69550287742477,"High",8,8,0.69550287742477,0.69550287742477
"3623",5297751,"clear",983.5,358,261,"90_12right.mp4",38,8.4758214577137,"Low",12,12,-3.5241785422863,3.5241785422863
"3624",5297751,"clear",642.899999976158,328,264,"50_8right.mp4",8,1.79692527269597,"Medium",8,8,-6.20307472730403,6.20307472730403
"3625",5297751,"clear",872.59999999404,455,255,"16right.mp4",135,27.8972710309476,"High",16,16,11.8972710309476,11.8972710309476
"3626",5297751,"clear",995.90000000596,261,251,"8.mp4",-59,-13.0274322405123,"High",-8,8,-5.02743224051227,5.02743224051227
"3627",5297751,"clear",834.199999988079,319,258,"50_4right.mp4",-1,-0.224688179624502,"Medium",4,4,-4.2246881796245,4.2246881796245
"3628",5297751,"clear",1036,424,259,"20right.mp4",104,22.1877541332719,"High",20,20,2.18775413327191,2.18775413327191
"3629",5297751,"clear",913.09999999404,422,245,"90_0right.mp4",102,21.8014094863518,"Low",0,0,21.8014094863518,21.8014094863518
"3630",5297751,"clear",791.09999999404,296,254,"4right.mp4",-24,-5.37670542805074,"High",4,4,-9.37670542805074,9.37670542805074
"3631",5297751,"clear",777.199999988079,273,252,"4.mp4",-47,-10.4431940634969,"High",-4,4,-6.44319406349694,6.44319406349694
"3632",5297751,"clear",777.90000000596,445,258,"50_16right.mp4",125,26.1139126302907,"Medium",16,16,10.1139126302907,10.1139126302907
"3633",5297751,"clear",875.40000000596,347,254,"90_4.mp4",27,6.04409216224111,"Low",-4,4,10.0440921622411,10.0440921622411
"3634",5297751,"clear",1205.90000000596,285,258,"90_20.mp4",-35,-7.81529354676688,"Low",-20,20,12.1847064532331,12.1847064532331
"3635",5297751,"clear",1027.20000001788,233,263,"50_8.mp4",-87,-18.8384335579808,"Medium",-8,8,-10.8384335579808,10.8384335579808
"3636",5297751,"clear",971.299999982119,207,254,"16.mp4",-113,-23.8999162515336,"High",-16,16,-7.89991625153356,7.89991625153356
"3637",5297751,"clear",744.200000017881,175,257,"90_12.mp4",-145,-29.6237487511738,"Low",-12,12,-17.6237487511738,17.6237487511738
"3638",5297751,"clear",1057.5,144,251,"90_16.mp4",-176,-34.6132857656403,"Low",-16,16,-18.6132857656403,18.6132857656403
"3639",5297751,"clear",1064.90000000596,225,254,"90_8.mp4",-95,-20.4328286793987,"Low",-8,8,-12.4328286793987,12.4328286793987
"3640",5297751,"clear",969.200000017881,369,256,"12right.mp4",49,10.877193123152,"High",12,12,-1.12280687684803,1.12280687684803
"3641",5297751,"clear",677.5,425,254,"20right.mp4",105,22.3801350519596,"High",20,20,2.38013505195957,2.38013505195957
"3642",5297751,"clear",1093.29999998212,255,253,"50_8right.mp4",-65,-14.3002774491856,"Medium",8,8,-22.3002774491856,22.3002774491856
"3643",5297751,"clear",1647.90000000596,349,259,"8right.mp4",29,6.48811511651054,"High",8,8,-1.51188488348946,1.51188488348946
"3644",5297751,"clear",967,387,256,"50_12right.mp4",67,14.7214409149781,"Medium",12,12,2.72144091497807,2.72144091497807
"3645",5297751,"clear",904,363,264,"16right.mp4",43,9.57159565375665,"High",16,16,-6.42840434624335,6.42840434624335
"3646",5297751,"clear",2009.19999998808,327,255,"0right.mp4",7,1.57243042767335,"High",0,0,1.57243042767335,1.57243042767335
"3647",5297751,"clear",1453.29999998212,351,253,"90_20right.mp4",31,6.93135679831583,"Low",20,20,-13.0686432016842,13.0686432016842
"3648",5297751,"clear",1969.90000000596,275,260,"4.mp4",-45,-10.0079798014413,"High",-4,4,-6.00797980144134,6.00797980144134
"3649",5297751,"clear",1175,200,260,"20.mp4",-120,-25.2011236454751,"High",-20,20,-5.20112364547507,5.20112364547507
