Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,branch-3eqj,Randomise questionnaire elements?
2,1.6439E+12,03/02/2022 16:13,1.6439E+12,0,03/02/2022 16:13,62188,20,questionnaire-mq5s,,19137815,BLIND,5668370,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 97.0.4692.99,1440x900,1425x821,,Debrief,6,163,No
3,1.6439E+12,03/02/2022 16:13,1.6439E+12,0,03/02/2022 16:13,62188,20,questionnaire-mq5s,,19137815,BLIND,5668370,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 97.0.4692.99,1440x900,1425x821,,Debrief,6,163,No
1,1.64383E+12,02/02/2022 18:41,1.64383E+12,0,02/02/2022 18:41,62188,20,questionnaire-mq5s,,19103249,BLIND,5658031,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 97.0.4692.99,1536x864,1536x864,,Debrief,6,163,No
2,1.64383E+12,02/02/2022 18:41,1.64383E+12,0,02/02/2022 18:41,62188,20,questionnaire-mq5s,,19103249,BLIND,5658031,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 97.0.4692.99,1536x864,1519x864,,Debrief,6,163,No
3,1.64383E+12,02/02/2022 18:41,1.64383E+12,0,02/02/2022 18:41,62188,20,questionnaire-mq5s,,19103249,BLIND,5658031,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 97.0.4692.99,1536x864,1519x864,,Debrief,6,163,No
1,1.64374E+12,01/02/2022 19:40,1.64374E+12,0,01/02/2022 19:40,62188,20,questionnaire-mq5s,,19067294,BLIND,5647903,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 97.0.4692.99,1536x864,1536x864,,Debrief,6,178,No
2,1.64374E+12,01/02/2022 19:41,1.64374E+12,0,01/02/2022 19:41,62188,20,questionnaire-mq5s,,19067294,BLIND,5647903,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 97.0.4692.99,1536x864,1519x864,,Debrief,6,178,No
3,1.64374E+12,01/02/2022 19:41,1.64374E+12,0,01/02/2022 19:41,62188,20,questionnaire-mq5s,,19067294,BLIND,5647903,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 97.0.4692.99,1536x864,1519x864,,Debrief,6,178,No
1,1.64374E+12,01/02/2022 18:49,1.64374E+12,0,01/02/2022 18:49,62188,20,questionnaire-mq5s,,19066098,BLIND,5647580,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 97.0.4692.99,1536x864,1536x864,,Debrief,6,183,No
2,1.64374E+12,01/02/2022 18:49,1.64374E+12,0,01/02/2022 18:49,62188,20,questionnaire-mq5s,,19066098,BLIND,5647580,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 97.0.4692.99,1536x864,1519x864,,Debrief,6,183,No
3,1.64374E+12,01/02/2022 18:49,1.64374E+12,0,01/02/2022 18:49,62188,20,questionnaire-mq5s,,19066098,BLIND,5647580,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 97.0.4692.99,1536x864,1519x864,,Debrief,6,183,No
1,1.64363E+12,31/01/2022 12:04,1.64363E+12,0,31/01/2022 12:04,62188,20,questionnaire-mq5s,,19011053,BLIND,5631005,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 97.0.4692.99,1440x900,1440x821,,Debrief,6,173,No
2,1.64363E+12,31/01/2022 12:04,1.64363E+12,0,31/01/2022 12:04,62188,20,questionnaire-mq5s,,19011053,BLIND,5631005,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 97.0.4692.99,1440x900,1440x821,,Debrief,6,173,No
3,1.64363E+12,31/01/2022 12:04,1.64363E+12,0,31/01/2022 12:04,62188,20,questionnaire-mq5s,,19011053,BLIND,5631005,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 97.0.4692.99,1440x900,1440x821,,Debrief,6,173,No
1,1.64348E+12,29/01/2022 19:16,1.64348E+12,0,29/01/2022 19:16,62188,20,questionnaire-mq5s,,18985795,BLIND,5624292,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 97.0.4692.99,1536x864,1536x722,,Debrief,6,193,No
2,1.64348E+12,29/01/2022 19:18,1.64348E+12,0,29/01/2022 19:18,62188,20,questionnaire-mq5s,,18985795,BLIND,5624292,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 97.0.4692.99,1536x864,1519x722,,Debrief,6,193,No
3,1.64348E+12,29/01/2022 19:18,1.64348E+12,0,29/01/2022 19:18,62188,20,questionnaire-mq5s,,18985795,BLIND,5624292,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 97.0.4692.99,1536x864,1519x722,,Debrief,6,193,No
1,1.64347E+12,29/01/2022 16:19,1.64347E+12,0,29/01/2022 16:19,62188,20,questionnaire-mq5s,,18982971,BLIND,5623534,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 97.0.4692.99,1536x864,1536x864,,Debrief,6,173,No
2,1.64347E+12,29/01/2022 16:19,1.64347E+12,0,29/01/2022 16:19,62188,20,questionnaire-mq5s,,18982971,BLIND,5623534,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 97.0.4692.99,1536x864,1519x864,,Debrief,6,173,No
3,1.64347E+12,29/01/2022 16:19,1.64347E+12,0,29/01/2022 16:19,62188,20,questionnaire-mq5s,,18982971,BLIND,5623534,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 97.0.4692.99,1536x864,1519x864,,Debrief,6,173,No
1,1.64331E+12,27/01/2022 19:01,1.64331E+12,0,27/01/2022 19:01,62188,20,questionnaire-mq5s,,18942043,BLIND,5610774,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 97.0.1072.69,1280x720,1280x720,,Debrief,6,157,No
2,1.64331E+12,27/01/2022 19:01,1.64331E+12,0,27/01/2022 19:01,62188,20,questionnaire-mq5s,,18942043,BLIND,5610774,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 97.0.1072.69,1280x720,1263x720,,Debrief,6,157,No
3,1.64331E+12,27/01/2022 19:01,1.64331E+12,0,27/01/2022 19:01,62188,20,questionnaire-mq5s,,18942043,BLIND,5610774,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 97.0.1072.69,1280x720,1263x720,,Debrief,6,157,No
1,1.64314E+12,25/01/2022 19:10,1.64314E+12,0,25/01/2022 19:10,62188,20,questionnaire-mq5s,,18873532,BLIND,5585959,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 97.0.1072.69,1280x720,1280x720,,Debrief,6,168,No
2,1.64314E+12,25/01/2022 19:10,1.64314E+12,0,25/01/2022 19:10,62188,20,questionnaire-mq5s,,18873532,BLIND,5585959,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 97.0.1072.69,1280x720,1263x720,,Debrief,6,168,No
3,1.64314E+12,25/01/2022 19:10,1.64314E+12,0,25/01/2022 19:10,62188,20,questionnaire-mq5s,,18873532,BLIND,5585959,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 97.0.1072.69,1280x720,1263x720,,Debrief,6,168,No
1,1.64314E+12,25/01/2022 18:30,1.64314E+12,0,25/01/2022 18:30,62188,20,questionnaire-mq5s,,18868229,BLIND,5585374,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 97.0.1072.69,1280x720,1280x720,,Debrief,6,168,No
2,1.64314E+12,25/01/2022 18:30,1.64314E+12,0,25/01/2022 18:30,62188,20,questionnaire-mq5s,,18868229,BLIND,5585374,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 97.0.1072.69,1280x720,1263x720,,Debrief,6,168,No
3,1.64314E+12,25/01/2022 18:30,1.64314E+12,0,25/01/2022 18:30,62188,20,questionnaire-mq5s,,18868229,BLIND,5585374,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 97.0.1072.69,1280x720,1263x720,,Debrief,6,168,No
1,1.64296E+12,23/01/2022 18:07,1.64296E+12,0,23/01/2022 18:07,62188,20,questionnaire-mq5s,,18783752,BLIND,5558701,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 97.0.4692.99,1536x864,1536x864,,Debrief,6,168,No
