Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,branch-3eqj,Randomise questionnaire elements?,Question Key,Response
2,1644260191665,07/02/2022 18:56:31,1644260191610,0,07/02/2022 18:56:31,62188,20,questionnaire-dbtg,,19251697,BLIND,5704264,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 97.0.4692.99,1536x864,1519x722,,Information sheet and consent ,2,193,No,END QUESTIONNAIRE,9896
1,1644171224399,06/02/2022 18:13:44,1644171223503,0,06/02/2022 18:13:43,62188,20,questionnaire-dbtg,,19216973,BLIND,5693459,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 97.0.4692.99,1536x864,1536x722,,Information sheet and consent ,2,188,No,BEGIN QUESTIONNAIRE,
2,1644171229483,06/02/2022 18:13:49,1644171228619,0,06/02/2022 18:13:48,62188,20,questionnaire-dbtg,,19216973,BLIND,5693459,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 97.0.4692.99,1536x864,1519x722,,Information sheet and consent ,2,188,No,END QUESTIONNAIRE,5116
1,1644071412537,05/02/2022 14:30:12,1644071412387,0,05/02/2022 14:30:12,62188,20,questionnaire-dbtg,,19195691,BLIND,5688378,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 97.0.4692.99,1440x900,1440x821,,Information sheet and consent ,2,163,No,BEGIN QUESTIONNAIRE,
2,1644071436148,05/02/2022 14:30:36,1644071436042,0,05/02/2022 14:30:36,62188,20,questionnaire-dbtg,,19195691,BLIND,5688378,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 97.0.4692.99,1440x900,1425x821,,Information sheet and consent ,2,163,No,END QUESTIONNAIRE,23656
1,1643906781050,03/02/2022 16:46:21,1643906780936,0,03/02/2022 16:46:20,62188,20,questionnaire-dbtg,,19139173,BLIND,5670717,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 97.0.4692.99,1440x900,1440x821,,Information sheet and consent ,2,168,No,BEGIN QUESTIONNAIRE,
2,1643906804044,03/02/2022 16:46:44,1643906803926,0,03/02/2022 16:46:43,62188,20,questionnaire-dbtg,,19139173,BLIND,5670717,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 97.0.4692.99,1440x900,1440x821,,Information sheet and consent ,2,168,No,END QUESTIONNAIRE,22990
1,1643904153478,03/02/2022 16:02:33,1643904153393,0,03/02/2022 16:02:33,62188,20,questionnaire-dbtg,,19137505,BLIND,5669715,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 97.0.4692.99,1536x864,1536x722,,Information sheet and consent ,2,168,No,BEGIN QUESTIONNAIRE,
2,1643904175244,03/02/2022 16:02:55,1643904175181,0,03/02/2022 16:02:55,62188,20,questionnaire-dbtg,,19137505,BLIND,5669715,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 97.0.4692.99,1536x864,1519x722,,Information sheet and consent ,2,168,No,END QUESTIONNAIRE,21788
1,1643902406672,03/02/2022 15:33:26,1643902406546,0,03/02/2022 15:33:26,62188,20,questionnaire-dbtg,,19136334,BLIND,5668370,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 97.0.4692.99,1440x900,1440x821,,Information sheet and consent ,2,163,No,BEGIN QUESTIONNAIRE,
2,1643902447375,03/02/2022 15:34:07,1643902447264,0,03/02/2022 15:34:07,62188,20,questionnaire-dbtg,,19136334,BLIND,5668370,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 97.0.4692.99,1440x900,1425x821,,Information sheet and consent ,2,163,No,END QUESTIONNAIRE,40718
1,1643831590972,02/02/2022 19:53:10,1643831590856,0,02/02/2022 19:53:10,62188,20,questionnaire-dbtg,,19105408,BLIND,5658787,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 97.0.4692.99,1440x900,1440x821,,Information sheet and consent ,2,173,No,BEGIN QUESTIONNAIRE,
2,1643831608118,02/02/2022 19:53:28,1643831608038,0,02/02/2022 19:53:28,62188,20,questionnaire-dbtg,,19105408,BLIND,5658787,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 97.0.4692.99,1440x900,1425x821,,Information sheet and consent ,2,173,No,END QUESTIONNAIRE,17182
1,1643825225054,02/02/2022 18:07:05,1643825225135,0,02/02/2022 18:07:05,62188,20,questionnaire-dbtg,,19102305,BLIND,5658031,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 97.0.4692.99,1536x864,1536x722,,Information sheet and consent ,2,163,No,BEGIN QUESTIONNAIRE,
2,1643825231244,02/02/2022 18:07:11,1643825231329,0,02/02/2022 18:07:11,62188,20,questionnaire-dbtg,,19102305,BLIND,5658031,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 97.0.4692.99,1536x864,1519x722,,Information sheet and consent ,2,163,No,END QUESTIONNAIRE,6194
1,1643742189796,01/02/2022 19:03:09,1643742189604,0,01/02/2022 19:03:09,62188,20,questionnaire-dbtg,,19066388,BLIND,5647903,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 97.0.4692.99,1536x864,1536x722,,Information sheet and consent ,2,178,No,BEGIN QUESTIONNAIRE,
2,1643742236987,01/02/2022 19:03:56,1643742236857,0,01/02/2022 19:03:56,62188,20,questionnaire-dbtg,,19066388,BLIND,5647903,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 97.0.4692.99,1536x864,1519x722,,Information sheet and consent ,2,178,No,END QUESTIONNAIRE,47253
1,1643738970346,01/02/2022 18:09:30,1643738970185,0,01/02/2022 18:09:30,62188,20,questionnaire-dbtg,,19065207,BLIND,5647580,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 97.0.4692.99,1536x864,1536x722,,Information sheet and consent ,2,183,No,BEGIN QUESTIONNAIRE,
2,1643738978241,01/02/2022 18:09:38,1643738978014,0,01/02/2022 18:09:38,62188,20,questionnaire-dbtg,,19065207,BLIND,5647580,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 97.0.4692.99,1536x864,1519x722,,Information sheet and consent ,2,183,No,END QUESTIONNAIRE,7829
1,1643653667367,31/01/2022 18:27:47,1643653666768,0,31/01/2022 18:27:46,62188,20,questionnaire-dbtg,,19028712,BLIND,5636687,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 97.0.4692.99,1536x864,1536x722,,Information sheet and consent ,2,173,No,BEGIN QUESTIONNAIRE,
2,1643653673581,31/01/2022 18:27:53,1643653672983,0,31/01/2022 18:27:52,62188,20,questionnaire-dbtg,,19028712,BLIND,5636687,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 97.0.4692.99,1536x864,1519x722,,Information sheet and consent ,2,173,No,END QUESTIONNAIRE,6216
1,1643628299603,31/01/2022 11:24:59,1643628296329,0,31/01/2022 11:24:56,62188,20,questionnaire-dbtg,,19009677,BLIND,5631005,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 97.0.4692.99,1440x900,1440x821,,Information sheet and consent ,2,173,No,BEGIN QUESTIONNAIRE,
2,1643628319137,31/01/2022 11:25:19,1643628315900,0,31/01/2022 11:25:15,62188,20,questionnaire-dbtg,,19009677,BLIND,5631005,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 97.0.4692.99,1440x900,1440x821,,Information sheet and consent ,2,173,No,END QUESTIONNAIRE,19571
1,1643481636882,29/01/2022 18:40:36,1643481637157,0,29/01/2022 18:40:37,62188,20,questionnaire-dbtg,,18985368,BLIND,5624292,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 97.0.4692.99,1536x864,1536x722,,Information sheet and consent ,2,193,No,BEGIN QUESTIONNAIRE,
