Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,branch-3eqj,Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,ANSWER
3,1642512583899,18/01/2022 13:29:43,1642512583811,0,18/01/2022 13:29:43,62188,20,task-9sft,,18593768,BLIND,5504684,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 97.0.1072.62,1280x720,1280x720,,Eye dominance,3,152,Spreadsheet1,Spreadsheet1,2,1,1,Screen 1,Zone2,continue_button,34792.10000002384,,,,,0,1,0,,,,,,video,
4,1642512595443,18/01/2022 13:29:55,1642512595362,0,18/01/2022 13:29:55,62188,20,task-9sft,,18593768,BLIND,5504684,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 97.0.1072.62,1280x720,1280x720,,Eye dominance,3,152,Spreadsheet1,Spreadsheet1,3,1,1,Screen 1,advancementZone,continue_button,11542.200000047684,,,,,0,1,0,,,,,,instructions,
5,1642512598055,18/01/2022 13:29:58,1642512597956,0,18/01/2022 13:29:57,62188,20,task-9sft,,18593768,BLIND,5504684,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 97.0.1072.62,1280x720,1280x720,,Eye dominance,3,152,Spreadsheet1,Spreadsheet1,4,1,1,Screen 1,buttonB,response_button_text,2580.600000023842,,,Right,1,0,1,0,,,,,,response,
6,1642512598110,18/01/2022 13:29:58,1642512597965,0,18/01/2022 13:29:57,62188,20,task-9sft,,18593768,BLIND,5504684,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 97.0.1072.62,1280x720,1280x720,,Eye dominance,3,152,Spreadsheet1,,,END TASK,,,,,51049,,,,,0,1,0,,,,,,,
1,1642506083002,18/01/2022 11:41:23,1642506082924,0,18/01/2022 11:41:22,62188,20,task-9sft,,18589095,BLIND,5502940,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 97.0.1072.62,1280x720,1280x720,,Eye dominance,3,163,Spreadsheet1,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,,
2,1642506094749,18/01/2022 11:41:34,1642506094593,0,18/01/2022 11:41:34,62188,20,task-9sft,,18589095,BLIND,5502940,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 97.0.1072.62,1280x720,1280x720,,Eye dominance,3,163,Spreadsheet1,Spreadsheet1,1,1,1,Screen 1,advancementZone,continue_button,11619.5,,,,,0,1,0,,,,,,intro,
3,1642506131522,18/01/2022 11:42:11,1642506131476,0,18/01/2022 11:42:11,62188,20,task-9sft,,18589095,BLIND,5502940,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 97.0.1072.62,1280x720,1280x720,,Eye dominance,3,163,Spreadsheet1,Spreadsheet1,2,1,1,Screen 1,Zone2,continue_button,36864.199999928474,,,,,0,1,0,,,,,,video,
4,1642506187296,18/01/2022 11:43:07,1642506187261,0,18/01/2022 11:43:07,62188,20,task-9sft,,18589095,BLIND,5502940,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 97.0.1072.62,1280x720,1280x720,,Eye dominance,3,163,Spreadsheet1,Spreadsheet1,3,1,1,Screen 1,advancementZone,continue_button,55769.10000002384,,,,,0,1,0,,,,,,instructions,
5,1642506193855,18/01/2022 11:43:13,1642506193812,0,18/01/2022 11:43:13,62188,20,task-9sft,,18589095,BLIND,5502940,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 97.0.1072.62,1280x720,1280x720,,Eye dominance,3,163,Spreadsheet1,Spreadsheet1,4,1,1,Screen 1,buttonA,response_button_text,6524.399999976158,,,Left,1,0,1,0,,,,,,response,
6,1642506193906,18/01/2022 11:43:13,1642506193816,0,18/01/2022 11:43:13,62188,20,task-9sft,,18589095,BLIND,5502940,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 97.0.1072.62,1280x720,1280x720,,Eye dominance,3,163,Spreadsheet1,,,END TASK,,,,,110892,,,,,0,1,0,,,,,,,
1,1642496907405,18/01/2022 09:08:27,1642496907316,0,18/01/2022 09:08:27,62188,20,task-9sft,,18584017,BLIND,5501417,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 97.0.1072.62,1280x720,1280x609,,Eye dominance,3,152,Spreadsheet1,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,,
2,1642496911721,18/01/2022 09:08:31,1642496911698,0,18/01/2022 09:08:31,62188,20,task-9sft,,18584017,BLIND,5501417,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 97.0.1072.62,1280x720,1280x609,,Eye dominance,3,152,Spreadsheet1,Spreadsheet1,1,1,1,Screen 1,advancementZone,continue_button,4329.100000023842,,,,,0,1,0,,,,,,intro,
3,1642496951424,18/01/2022 09:09:11,1642496951385,0,18/01/2022 09:09:11,62188,20,task-9sft,,18584017,BLIND,5501417,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 97.0.1072.62,1280x720,1280x609,,Eye dominance,3,152,Spreadsheet1,Spreadsheet1,2,1,1,Screen 1,Zone2,continue_button,39662.800000071526,,,,,0,1,0,,,,,,video,
